year,country_origin_id,,country_destination_id,import_names,import_val,import_val_pct,et_destination
2016,ETH,Ethiopia,MNG,Mongolia,152746.09,0.00%,0
2016,ETH,Ethiopia,MNE,Montenegro,97855,0.00%,0
2016,ETH,Ethiopia,MAR,Morocco,292161433.8,1.60%,0
2016,ETH,Ethiopia,MOZ,Mozambique,160619.03,0.00%,1
2016,ETH,Ethiopia,MMR,Myanmar (Burma),25339.7,0.00%,0
2016,ETH,Ethiopia,NPL,Nepal,2937,0.00%,0
2016,ETH,Ethiopia,NLD,Netherlands,215332705,1.20%,0
2016,ETH,Ethiopia,NZL,New Zealand,6419028.27,0.04%,0
2016,ETH,Ethiopia,NER,Niger,10137,0.00%,3
2016,ETH,Ethiopia,NGA,Nigeria,8244904.82,0.05%,7
2016,ETH,Ethiopia,PRK,North Korea,6163703.88,0.03%,0
2016,ETH,Ethiopia,NOR,Norway,7054862.25,0.04%,0
2016,ETH,Ethiopia,OMN,Oman,15840888.22,0.09%,1
2016,ETH,Ethiopia,PAK,Pakistan,35980772.35,0.20%,0
2016,ETH,Ethiopia,PSE,Palestinian Territories,40540,0.00%,0
2016,ETH,Ethiopia,PAN,Panama,481766.13,0.00%,0
2016,ETH,Ethiopia,PER,Peru,6872544.87,0.04%,0
2016,ETH,Ethiopia,PHL,Philippines,14328996.42,0.08%,1
2016,ETH,Ethiopia,POL,Poland,126423431.3,0.71%,0
2016,ETH,Ethiopia,PRT,Portugal,17653856.13,0.10%,0
2016,ETH,Ethiopia,QAT,Qatar,4565096.93,0.03%,0
2016,ETH,Ethiopia,XXB,Refugee,65067385.02,0.36%,0
2016,ETH,Ethiopia,ROU,Romania,89326683.88,0.50%,0
2016,ETH,Ethiopia,RUS,Russia,141039183.8,0.79%,0
2016,ETH,Ethiopia,RWA,Rwanda,6665724.38,0.04%,1
2016,ETH,Ethiopia,SAU,Saudi Arabia,406581143.7,2.30%,3
2016,ETH,Ethiopia,SEN,Senegal,237471.22,0.00%,2
2016,ETH,Ethiopia,SRB,Serbia,594344,0.00%,0
2016,ETH,Ethiopia,SLE,Sierra Leone,2674194.62,0.02%,1
2016,ETH,Ethiopia,SGP,Singapore,35284624.27,0.20%,1
2016,ETH,Ethiopia,SVK,Slovakia,9372091.55,0.05%,0
2016,ETH,Ethiopia,SVN,Slovenia,12105313.49,0.07%,0
2016,ETH,Ethiopia,SOM,Somalia,2373061.08,0.01%,1
2016,ETH,Ethiopia,ZAF,South Africa,194093265.5,1.10%,4
2016,ETH,Ethiopia,KOR,South Korea,201635312.1,1.10%,1
2016,ETH,Ethiopia,ESP,Spain,161938006.1,0.90%,1
2016,ETH,Ethiopia,LKA,Sri Lanka,6047495.59,0.03%,0
2016,ETH,Ethiopia,SDN,Sudan,88538578.13,0.49%,1
2016,ETH,Ethiopia,SUR,Suriname,6969,0.00%,0
2016,ETH,Ethiopia,SWE,Sweden,308298920.2,1.70%,0
2016,ETH,Ethiopia,CHE,Switzerland,80836819.47,0.45%,0
2016,ETH,Ethiopia,SYR,Syria,372700.02,0.00%,1
2016,ETH,Ethiopia,TZA,Tanzania,5123130.21,0.03%,4
2016,ETH,Ethiopia,THA,Thailand,134200031.1,0.75%,1
2016,ETH,Ethiopia,TLS,Timor-Leste,3724.66,0.00%,0
2016,ETH,Ethiopia,TGO,Togo,7672.24,0.00%,1
2016,ETH,Ethiopia,TON,Tonga,88300.86,0.00%,0
2016,ETH,Ethiopia,TTO,Trinidad & Tobago,2249,0.00%,0
2016,ETH,Ethiopia,TUN,Tunisia,30689965.68,0.17%,0
2016,ETH,Ethiopia,TUR,Turkey,578352604.3,3.20%,0
2016,ETH,Ethiopia,TKM,Turkmenistan,8275.3,0.00%,0
2016,ETH,Ethiopia,TCA,Turks & Caicos Islands,34046.07,0.00%,0
2016,ETH,Ethiopia,UGA,Uganda,439334.86,0.00%,1
2016,ETH,Ethiopia,UKR,Ukraine,92025507.57,0.51%,0
2016,ETH,Ethiopia,ARE,United Arab Emirates,549695130.1,3.10%,1
2016,ETH,Ethiopia,GBR,United Kingdom,266800725.9,1.50%,1
2016,ETH,Ethiopia,USA,United States,1539479489,8.60%,4
2016,ETH,Ethiopia,URY,Uruguay,127907,0.00%,0
2016,ETH,Ethiopia,UZB,Uzbekistan,7158871,0.04%,0
2016,ETH,Ethiopia,VNM,Vietnam,31929704.2,0.18%,0
2016,ETH,Ethiopia,YEM,Yemen,4815383.48,0.03%,0
2016,ETH,Ethiopia,ZMB,Zambia,593607,0.00%,4
2016,ETH,Ethiopia,ZWE,Zimbabwe,87302.77,0.00%,3
