dummy,from,fromIATA,to,toIATA,route since,frequency
yes,Douala,DLA,N'Djamena,NDJ,,
yes,Addis Ababa,ADD,Nairobi,NBO,,
yes,Lilongwe,LLW,Nairobi,NBO,,
yes,Addis Ababa,ADD,Ndola,NLA,,
yes,Addis Ababa,ADD,New Delhi,DEL,,
yes,Addis Ababa,ADD,New York,EWR,,
yes,Lome,LFW,New York,EWR,,
yes,Addis Ababa,ADD,Niamey,NIM,,
yes,Ouagadoudou,OUA,Niamey,NIM,,
yes,Cotonou,COO,Niamey,NIM,,
yes,Addis Ababa,ADD,Nosy Be,NOS,,
yes,Addis Ababa,ADD,Ouagadougou,OUA,,
yes,Lome,LFW,Ouagadougou,OUA,,
yes,Addis Ababa,ADD,Paris,CDG,,
yes,Addis Ababa,ADD,Riyadh,RUH,,
yes,Addis Ababa,ADD,Rome,FCO,,
yes,Addis Ababa,ADD,São Paulo ,GRU,,
yes,Addis Ababa,ADD,Semera,SZE,,
yes,Addis Ababa,ADD,Seoul,ICN,,
yes,Addis Ababa,ADD,Seychelles,SEZ,,
yes,Addis Ababa,ADD,Shanghai,PVG,,
yes,Addis Ababa,ADD,Shire,SHC,,
yes,Addis Ababa,ADD,Singapore,SIN,,
yes,Addis Ababa,ADD,Stockholm,ARN,,
yes,Addis Ababa,ADD,Tel Aviv,TLV,,
yes,Addis Ababa,ADD,Tokyo,HND,,
yes,Addis Ababa,ADD,Toronto,YYZ,,
yes,Addis Ababa,ADD,Victoria Falls,VFA,,
yes,Addis Ababa,ADD,Vienna,VIE,,
yes,Addis Ababa,ADD,Washington DC,IAD,,
yes,Addis Ababa,ADD,Windhoek,WDH,,
yes,Addis Ababa,ADD,Yaounde,YAO,,
yes,Libreville,LBV,Yaounde,YAO,,
yes,Abuja,ABV,Yaounde,YAO,,
yes,Addis Ababa,ADD,Zanzibar,ZNZ,,
